dataset_id,dataset_filepath,graph_id,graph_filepath,n_nodes,n_trajectories,trajectory_len,sampling_frequency,sync,allow_self_parent,attractor_state_percentage
0,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l50_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,50,1,True,False,0.913725
1,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l50_r1.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,50,1,True,False,0.909804
2,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l50_r2.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,50,1,True,False,0.909804
3,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l100_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,100,1,True,False,0.952475
4,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l100_r1.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,100,1,True,False,0.960396
5,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l100_r2.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,100,1,True,False,0.956436
6,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l150_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,150,1,True,False,0.968212
7,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l150_r1.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,150,1,True,False,0.973510
8,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l150_r2.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,150,1,True,False,0.973510
9,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l200_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,200,1,True,False,0.977114
10,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l200_r1.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,200,1,True,False,0.977114
11,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t5_l200_r2.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,5,200,1,True,False,0.979104
12,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l50_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,50,1,True,False,0.915686
13,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l50_r1.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,50,1,True,False,0.911765
14,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l50_r2.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,50,1,True,False,0.915686
15,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l100_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,100,1,True,False,0.953465
16,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l100_r1.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,100,1,True,False,0.959406
17,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l100_r2.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,100,1,True,False,0.955446
18,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l150_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,150,1,True,False,0.970861
19,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l150_r1.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,150,1,True,False,0.972848
20,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l150_r2.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,150,1,True,False,0.971523
21,biological/results/generated_trajectories/sweep_neuro/sync1_self0_f1_t10_l200_r0.txt,neuro,biological/results/graphs/sweep_neuro/neuro_groundtruth.txt,14,10,200,1,True,False,0.978607
