dataset_id,dataset_filepath,graph_id,graph_filepath,n_nodes,n_trajectories,trajectory_len,sampling_frequency,sync,allow_self_parent,attractor_state_percentage
0,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l50_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,50,1,True,False,0.905882
1,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l50_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,50,1,True,False,0.909804
2,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l50_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,50,1,True,False,0.917647
3,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l100_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,100,1,True,False,0.962376
4,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l100_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,100,1,True,False,0.962376
5,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l100_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,100,1,True,False,0.960396
6,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l150_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,150,1,True,False,0.966887
7,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l150_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,150,1,True,False,0.973510
8,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l150_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,150,1,True,False,0.969536
9,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l200_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,200,1,True,False,0.979104
10,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l200_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,200,1,True,False,0.979104
11,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t5_l200_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,5,200,1,True,False,0.980100
12,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l50_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,50,1,True,False,0.913725
13,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l50_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,50,1,True,False,0.905882
14,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l50_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,50,1,True,False,0.927451
15,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l100_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,100,1,True,False,0.959406
16,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l100_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,100,1,True,False,0.956436
17,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l100_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,100,1,True,False,0.957426
18,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l150_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,150,1,True,False,0.972848
19,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l150_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,150,1,True,False,0.974172
20,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l150_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,150,1,True,False,0.970199
21,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l200_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,200,1,True,False,0.979602
22,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l200_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,200,1,True,False,0.980100
23,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t10_l200_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,10,200,1,True,False,0.981095
24,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t15_l50_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,15,50,1,True,False,0.917647
25,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t15_l50_r1.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,15,50,1,True,False,0.912418
26,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t15_l50_r2.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,15,50,1,True,False,0.926797
27,biological/results/generated_trajectories/sweep_tool/sync1_self0_f1_t15_l100_r0.txt,tool,biological/results/graphs/sweep_tool/tool_groundtruth.txt,9,15,100,1,True,False,0.961716
