	EXP0:0	EXP0:1	EXP0:2	EXP0:3	EXP0:4	EXP0:5	EXP0:6	EXP0:7	EXP0:8	EXP0:9	EXP0:10	EXP0:11	EXP0:12	EXP0:13	EXP0:14	EXP0:15	EXP0:16	EXP0:17	EXP0:18	EXP0:19	EXP0:20
x0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x3	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x5	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x8	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x9	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x10	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x12	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
x13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x14	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
x15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
