	EXP0:0	EXP0:3	EXP1:0	EXP1:3	EXP2:0	EXP2:3	EXP3:0	EXP3:3	EXP4:0	EXP4:3	EXP5:0	EXP5:3	EXP6:0	EXP6:3	EXP7:0	EXP7:3	EXP8:0	EXP8:3	EXP9:0	EXP9:3	EXP10:0	EXP10:3	EXP11:0	EXP11:3	EXP12:0	EXP12:3	EXP13:0	EXP13:3	EXP14:0	EXP14:3	EXP15:0	EXP15:3	EXP16:0	EXP16:3	EXP17:0	EXP17:3	EXP18:0	EXP18:3	EXP19:0	EXP19:3
x0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	0	0	1	0
x1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1
x2	0	0	0	0	1	0	0	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	1	1	0	0	0	0	0	1	0	0	0	1	1
x3	1	0	1	0	0	0	1	0	0	1	1	0	1	0	1	1	1	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	0	0	0	1
x4	1	1	0	1	1	1	0	1	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1
x5	1	1	1	1	0	0	1	1	1	1	1	0	1	0	0	1	1	0	1	0	1	0	1	1	0	1	0	0	0	1	0	1	1	0	0	0	1	0	1	0
x6	1	1	1	1	0	1	0	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	1	1
x7	1	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	1	1	0	1	1	1	1
x8	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	1	0	1	0	1	0	1	0	0	0	0	1	1	0	0	1	1	0	0	1	0	0	1	1
x9	1	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0
x10	0	0	0	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	1	0	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	0
x11	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0	1	0	0	0	1	0	1	0
x12	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	0	1	0
x13	1	1	0	1	0	1	0	1	1	1	0	1	1	1	0	1	1	1	1	1	0	1	1	1	0	1	1	1	0	1	0	1	0	1	1	1	1	1	1	1
x14	0	1	0	1	1	1	0	1	0	1	1	1	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1	0	1	0	1	1	1
x15	1	1	0	1	0	1	1	1	0	1	0	1	0	1	0	1	0	1	0	1	0	1	1	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1
