,allow_self_parent,attractor_state_percentage,dataset_filepath,dataset_id,graph_filepath,graph_id,n_nodes,n_trajectories,network_seed,sampling_frequency,sync,trajectory_len,trajectory_seed
0,False,0.5,example_datasets/datasets/D0.txt,0,example_datasets/graphs/G1.txt,1,5,1,0,1,True,5,0
1,False,0.5,example_datasets/datasets/D1.txt,1,example_datasets/graphs/G1.txt,1,5,1,0,3,True,5,0
2,False,0.8571428571428571,example_datasets/datasets/D2.txt,2,example_datasets/graphs/G1.txt,1,5,1,0,1,True,20,0
3,False,0.8571428571428571,example_datasets/datasets/D3.txt,3,example_datasets/graphs/G1.txt,1,5,1,0,3,True,20,0
4,False,0.9702970297029703,example_datasets/datasets/D4.txt,4,example_datasets/graphs/G1.txt,1,5,1,0,1,True,100,0
5,False,0.9705882352941176,example_datasets/datasets/D5.txt,5,example_datasets/graphs/G1.txt,1,5,1,0,3,True,100,0
6,False,0.6666666666666666,example_datasets/datasets/D6.txt,6,example_datasets/graphs/G1.txt,1,5,5,0,1,True,5,0
7,False,0.5,example_datasets/datasets/D7.txt,7,example_datasets/graphs/G1.txt,1,5,5,0,3,True,5,0
8,False,0.8857142857142857,example_datasets/datasets/D8.txt,8,example_datasets/graphs/G1.txt,1,5,5,0,1,True,20,0
9,False,0.8285714285714286,example_datasets/datasets/D9.txt,9,example_datasets/graphs/G1.txt,1,5,5,0,3,True,20,0
10,False,0.9841584158415841,example_datasets/datasets/D10.txt,10,example_datasets/graphs/G1.txt,1,5,5,0,1,True,100,0
11,False,0.9764705882352941,example_datasets/datasets/D11.txt,11,example_datasets/graphs/G1.txt,1,5,5,0,3,True,100,0
12,False,0.7416666666666667,example_datasets/datasets/D12.txt,12,example_datasets/graphs/G1.txt,1,5,20,0,1,True,5,0
13,False,0.525,example_datasets/datasets/D13.txt,13,example_datasets/graphs/G1.txt,1,5,20,0,3,True,5,0
14,False,0.9285714285714286,example_datasets/datasets/D14.txt,14,example_datasets/graphs/G1.txt,1,5,20,0,1,True,20,0
15,False,0.8714285714285714,example_datasets/datasets/D15.txt,15,example_datasets/graphs/G1.txt,1,5,20,0,3,True,20,0
16,False,0.9866336633663366,example_datasets/datasets/D16.txt,16,example_datasets/graphs/G1.txt,1,5,20,0,1,True,100,0
17,False,0.9735294117647059,example_datasets/datasets/D17.txt,17,example_datasets/graphs/G1.txt,1,5,20,0,3,True,100,0
18,False,0.8333333333333334,example_datasets/datasets/D18.txt,18,example_datasets/graphs/G2.txt,2,5,1,1,1,True,5,0
19,False,0.5,example_datasets/datasets/D19.txt,19,example_datasets/graphs/G2.txt,2,5,1,1,3,True,5,0
20,False,0.9523809523809523,example_datasets/datasets/D20.txt,20,example_datasets/graphs/G2.txt,2,5,1,1,1,True,20,0
21,False,0.8571428571428571,example_datasets/datasets/D21.txt,21,example_datasets/graphs/G2.txt,2,5,1,1,3,True,20,0
22,False,0.9900990099009901,example_datasets/datasets/D22.txt,22,example_datasets/graphs/G2.txt,2,5,1,1,1,True,100,0
23,False,0.9705882352941176,example_datasets/datasets/D23.txt,23,example_datasets/graphs/G2.txt,2,5,1,1,3,True,100,0
24,False,0.8333333333333334,example_datasets/datasets/D24.txt,24,example_datasets/graphs/G2.txt,2,5,5,1,1,True,5,0
25,False,0.5,example_datasets/datasets/D25.txt,25,example_datasets/graphs/G2.txt,2,5,5,1,3,True,5,0
26,False,0.9428571428571428,example_datasets/datasets/D26.txt,26,example_datasets/graphs/G2.txt,2,5,5,1,1,True,20,0
27,False,0.8571428571428571,example_datasets/datasets/D27.txt,27,example_datasets/graphs/G2.txt,2,5,5,1,3,True,20,0
28,False,0.9881188118811881,example_datasets/datasets/D28.txt,28,example_datasets/graphs/G2.txt,2,5,5,1,1,True,100,0
29,False,0.9705882352941176,example_datasets/datasets/D29.txt,29,example_datasets/graphs/G2.txt,2,5,5,1,3,True,100,0
30,False,0.7833333333333333,example_datasets/datasets/D30.txt,30,example_datasets/graphs/G2.txt,2,5,20,1,1,True,5,0
31,False,0.5,example_datasets/datasets/D31.txt,31,example_datasets/graphs/G2.txt,2,5,20,1,3,True,5,0
32,False,0.9285714285714286,example_datasets/datasets/D32.txt,32,example_datasets/graphs/G2.txt,2,5,20,1,1,True,20,0
33,False,0.8571428571428571,example_datasets/datasets/D33.txt,33,example_datasets/graphs/G2.txt,2,5,20,1,3,True,20,0
34,False,0.9881188118811881,example_datasets/datasets/D34.txt,34,example_datasets/graphs/G2.txt,2,5,20,1,1,True,100,0
35,False,0.9705882352941176,example_datasets/datasets/D35.txt,35,example_datasets/graphs/G2.txt,2,5,20,1,3,True,100,0
36,False,1.0,example_datasets/datasets/D36.txt,36,example_datasets/graphs/G3.txt,3,5,1,0,1,False,5,0
37,False,1.0,example_datasets/datasets/D37.txt,37,example_datasets/graphs/G3.txt,3,5,1,0,3,False,5,0
38,False,1.0,example_datasets/datasets/D38.txt,38,example_datasets/graphs/G3.txt,3,5,1,0,1,False,20,0
39,False,1.0,example_datasets/datasets/D39.txt,39,example_datasets/graphs/G3.txt,3,5,1,0,3,False,20,0
40,False,1.0,example_datasets/datasets/D40.txt,40,example_datasets/graphs/G3.txt,3,5,1,0,1,False,100,0
41,False,1.0,example_datasets/datasets/D41.txt,41,example_datasets/graphs/G3.txt,3,5,1,0,3,False,100,0
42,False,1.0,example_datasets/datasets/D42.txt,42,example_datasets/graphs/G3.txt,3,5,5,0,1,False,5,0
43,False,1.0,example_datasets/datasets/D43.txt,43,example_datasets/graphs/G3.txt,3,5,5,0,3,False,5,0
44,False,1.0,example_datasets/datasets/D44.txt,44,example_datasets/graphs/G3.txt,3,5,5,0,1,False,20,0
45,False,1.0,example_datasets/datasets/D45.txt,45,example_datasets/graphs/G3.txt,3,5,5,0,3,False,20,0
